codigo,disciplina,tema,papel,titulo,canal,url,duracao,data_publicacao,fonte_prioridade,edital_especifico,nota_aderencia
PT-01,Língua Portuguesa,Compreensão de textos de gêneros variados,principal,"COMPREENSÃO e INTERPRETAÇÃO de textos de gêneros variados [CONCURSOS]",Prof. Thiago Charme,https://www.youtube.com/watch?v=ptbiYTNF_i4,não verificada,não verificada,outro_canal_concursos,GERAL,"O título replica quase literalmente o código PT-01 e o canal é voltado a concursos; aula central para compreensão/interpretação de textos de diferentes gêneros, cobrindo a base teórica cobrada pela Cesgranrio."
PT-01,Língua Portuguesa,Compreensão de textos de gêneros variados,complementar_questoes,"Interpretação de textos para diversos concursos / tipologia textual / treinamento com 13 questões",Décio Terror,https://www.youtube.com/watch?v=6lFopVUhNJA,não verificada,não verificada,outro_canal_concursos,GERAL,"Treina 13 questões de interpretação e tipologia textual aplicáveis a diversos concursos, complementando a teoria com prática de banca."
PT-01,Língua Portuguesa,Compreensão de textos de gêneros variados,complementar_revisao,"Revisão de Tipos e Gêneros Textuais para concursos | Professora Mariana Noleto",OS PEDAGÓGICOS,https://www.youtube.com/watch?v=mxJ3Ml1JBt8,não verificada,não verificada,outro_canal_concursos,GERAL,"Aula de revisão específica sobre tipos e gêneros textuais voltada a concursos, útil para reforço rápido antes da prova."
PT-02,Língua Portuguesa,Ortografia oficial,principal,"PORTUGUÊS PARA CONCURSOS 2024: ORTOGRAFIA OFICIAL",Nova Concursos,https://www.youtube.com/watch?v=ljQTBylchVo,não verificada,não verificada,outro_canal_concursos,GERAL,"Aula de canal de concursos dedicada inteiramente à ortografia oficial, cobrindo regras de grafia cobradas em provas, alinhada ao código PT-02."
PT-02,Língua Portuguesa,Ortografia oficial,complementar_aprofundamento,"ORTOGRAFIA OFICIAL | LÍNGUA PORTUGUESA | IBFC | CORREIOS 2024",Focus Concursos,https://www.youtube.com/watch?v=H-QUPE-GY4Q,não verificada,não verificada,outro_canal_concursos,NAO,"Aprofunda a ortografia oficial a partir do padrão de banca IBFC (Correios 2024), ampliando o repertório de regras além do aulão introdutório."
PT-02,Língua Portuguesa,Ortografia oficial,complementar_revisao,"ORTOGRAFIA - Palavras que MAIS CAEM em CONCURSO",Prof. Álvaro Ferreira,https://www.youtube.com/watch?v=xD5NDLCUhaU,não verificada,não verificada,outro_canal_concursos,GERAL,"Revisão objetiva das palavras de grafia mais cobradas em concursos, boa para memorização rápida antes da prova."
PT-03,Língua Portuguesa,Mecanismos de coesão textual,principal,"Aula completa sobre COESÃO TEXTUAL (teoria e questões)",Aucielly Nobre,https://www.youtube.com/watch?v=60wyY63Lz0k,não verificada,não verificada,outro_canal_concursos,GERAL,"Aula completa combinando teoria e questões sobre coesão textual, cobrindo os principais mecanismos coesivos exigidos no código PT-03."
PT-03,Língua Portuguesa,Mecanismos de coesão textual,complementar_aprofundamento,"AULA: MECANISMOS DE COESÃO TEXTUAL + ESTRUTURA ORGANIZACIONAL - CONCURSO IBGE",Faculdade de Ilhéus Oficial,https://www.youtube.com/watch?v=LTRVEq2u3zg,não verificada,não verificada,outro_canal_concursos,NAO,"Aprofunda os mecanismos de coesão associando-os à estrutura organizacional do texto, com recorte de concurso (IBGE), ampliando a análise além do básico."
PT-03,Língua Portuguesa,Mecanismos de coesão textual,complementar_questoes,"CEBRASPE - DOMÍNIO DOS MECANISMOS DE COESÃO TEXTUAL",Professor Mazziotti,https://www.youtube.com/watch?v=DKeV0lUyVqY,não verificada,não verificada,outro_canal_concursos,NAO,"Foca na resolução de questões de bancas no padrão Cebraspe sobre coesão textual, treinando a aplicação prática do conteúdo."
PT-04,Língua Portuguesa,Emprego das classes de palavras,principal,"MORFOLOGIA: CLASSES DE PALAVRAS (Para Concurso)",Prof. Álvaro Ferreira,https://www.youtube.com/watch?v=ltrzPijgKi4,não verificada,não verificada,outro_canal_concursos,GERAL,"Aula central sobre as dez classes de palavras (morfologia) voltada especificamente a concursos, cobrindo a base teórica do código PT-04."
