codigo,disciplina,tema,papel,titulo,canal,url,duracao,data_publicacao,fonte_prioridade,edital_especifico,nota_aderencia
AC-01,Conhecimentos Específicos - Administração e Controle,Recrutamento e seleção,principal,"Recrutamento e Seleção - Gestão de Pessoas - Prof. Rodrigo Rennó",Rodrigo Rennó,https://www.youtube.com/watch?v=r1xqMjl6bYg,não identificada,fev/2021 (aprox.),outro_canal_concursos,NAO,"Aula do professor Rodrigo Rennó (referência em Administração Geral para concursos, autor de obra usada pelo Estratégia Concursos) dedicada especificamente a Recrutamento e Seleção dentro de Gestão de Pessoas, cobrindo diretamente o primeiro subtema do código AC-01. Escolhida como principal por tratar o tópico de forma central e não superficial."
AC-01,Conhecimentos Específicos - Administração e Controle,"Gestão por competências (plano de cargos/gestão de desempenho)",complementar_aprofundamento,"Gestão por Competências - Aula Completa - Prof. Rodrigo Rennó",Rodrigo Rennó,https://www.youtube.com/watch?v=3Uav1QsTS6o,não identificada,22/08/2019 (aprox.),outro_canal_concursos,NAO,"Aula completa sobre Gestão por Competências, aprofundando o subtema 'gestão de competências' do AC-01 além do que a aula principal cobre, com o mesmo professor de referência em concursos de Administração."
AC-01,Conhecimentos Específicos - Administração e Controle,"Gestão de Pessoas / gestão estratégica de RH",complementar_revisao,"Aula de Gestão de Pessoas para Concursos - Gestão Estratégica",AlfaCon,https://www.youtube.com/watch?v=SkFLvq8jzWA,não identificada,09/03/2022 (aprox.),outro_canal_concursos,NAO,"Aula de revisão de Gestão de Pessoas voltada a concursos pelo canal AlfaCon (canal consolidado de concursos), útil para revisar de forma ampla os temas de RH do AC-01 (recrutamento, plano de carreira, desempenho) em formato mais objetivo que as aulas anteriores."
AC-02,Conhecimentos Específicos - Administração e Controle,Sistema de Gestão Integrado - funcionamento e integração,principal,"Como funciona o Sistema de Gestão Integrada (SGI) na prática?",SG4 Gestão Ocupacional,https://www.youtube.com/watch?v=0eQhcFOasS4,não identificada,não identificada,fora_do_universo_concursos,NAO,"Explica de forma central os princípios de integração de um Sistema de Gestão Integrado (Qualidade, Meio Ambiente, Segurança) na prática, tema direto do código AC-02. Usado após esgotar busca em canais de concursos (ver nota de esgotamento na cobertura)."
AC-02,Conhecimentos Específicos - Administração e Controle,Funcionamento do SGI / normas ISO integradas,complementar_aprofundamento,"SGI - Sistema de Gestão Integrado - Como funciona o SGI?",Improova,https://www.youtube.com/watch?v=D8Uped-KucU,não identificada,não identificada,fora_do_universo_concursos,NAO,"Aprofunda o funcionamento do SGI e a integração das normas ISO 9001/14001/45001, complementando a aula principal com outro ângulo sobre o mesmo tema central do AC-02."
AC-02,Conhecimentos Específicos - Administração e Controle,Auditoria interna ISO 9001,complementar_revisao,"Auditoria Interna ISO 9001. Como é uma auditoria interna ou externa ISO 9001 em qualquer empresa",Marilis Kuligoski,https://www.youtube.com/watch?v=3ugSp5E8eAc,não identificada,não identificada,fora_do_universo_concursos,NAO,"Cobre especificamente auditorias internas dentro de sistemas de gestão da qualidade, revisando de forma prática o subtema 'auditorias internas e ações corretivas/preventivas' do AC-02, que as duas aulas anteriores não detalham."
AC-03,Conhecimentos Específicos - Administração e Controle,Administração de materiais e patrimônio,principal,"Administração de Materiais e Patrimônio para Institutos Federais - Prof. Ricardo Campanário",Estratégia Concursos,https://www.youtube.com/watch?v=z6OHEDUFq94,não identificada,não identificada,estrategia_concursos,NAO,"Aula do canal oficial Estratégia Concursos sobre Administração de Materiais e Patrimônio, cobrindo de forma central classificação, controle e gestão de bens patrimoniais, núcleo do código AC-03."
AC-03,Conhecimentos Específicos - Administração e Controle,Administração patrimonial - questões de concurso,complementar_questoes,"Concurso BNDES - Aula de Administração de Recursos Materiais: Administração Patrimonial",Qconcursos,https://www.youtube.com/watch?v=VTC1jjDyTII,não identificada,não identificada,outro_canal_concursos,NAO,"Aula do canal Qconcursos preparada para outro edital de empresa pública (BNDES) especificamente sobre Administração Patrimonial, com resolução de questões, complementando a aula principal com prática de banca."
AC-03,Conhecimentos Específicos - Administração e Controle,Gestão patrimonial e controle de bens públicos,complementar_revisao,"CONCURSO UENP: GESTÃO PATRIMONIAL | CONTROLE DE BENS PÚBLICOS",Carranza Cursos,https://www.youtube.com/watch?v=gfNAHDLSYMY,não identificada,jul/2026 (aprox.),outro_canal_concursos,NAO,"Aula de revisão recente (2026) sobre gestão patrimonial e controle de bens, preparada para outro concurso público, reforçando de forma objetiva inventário e controle patrimonial do AC-03."
AC-04,Conhecimentos Específicos - Administração e Controle,Tipos de manutenção (preventiva/corretiva/preditiva),principal,"Diferenças da manutenção preventiva, corretiva e preditiva",Checklist Fácil (Dando Check),https://www.youtube.com/watch?v=Es8MFjbqGw4,não identificada,não identificada,fora_do_universo_concursos,NAO,"Explica de forma central e comparativa os três tipos de manutenção (preventiva, corretiva, preditiva) citados literalmente no código AC-04. Usado após esgotar a busca em canais de concursos para este tema técnico (ver esgotamento na cobertura)."
